fltno,dest,source,freq,route,distance
AI 0453,DEL,ATQ,4,ATQ-DEL,414.49
AI 0803,DEL,BLR,7,BLR-DEL,1708.87
AI 0893,DEL,DIB,1,DIB-DEL,1761.61
AI 0485,DEL,IXZ,1,IXZ-DEL,2484.67
AI 0659,BOM,TIR,2,TIR-BOM,935.31
AI 0787,CCU,IXZ,1,IXZ-CCU,1306.14
AI 0895,DEL,IXA,1,IXA-DEL,1502.19
AI 0753,CCU,IXS,2,IXS-CCU,525.01
AI 0459,DEL,VGA,2,VGA-DEL,1389.84
AI 0705,CCU,DIB,4,DIB-CCU,851.91
AI 0423,DEL,STV,1,STV-DEL,936.60
AI 0525,HYD,CCU,7,CCU-HYD,1207.67
AI 0440,MAA,DEL,7,DEL-MAA,1759.82
AI 0675,BOM,CCU,3,CCU-BOM,1665.49
AI 0627,BOM,NAG,4,NAG-BOM,682.59
AI 0469,DEL,NAG,1,NAG-DEL,852.90
AI 0804,BLR,DEL,6,DEL-BLR,1708.87
AI 0851,DEL,PNQ,7,PNQ-DEL,1155.08
AI 0559,HYD,DEL,7,DEL-HYD,1266.57
AI 0640,BLR,BOM,5,BOM-BLR,834.16
AI 0887,DEL,BOM,7,BOM-DEL,1136.82
AI 0523,BLR,JAI,4,JAI-BLR,1527.96
AI 0688,BOM,DED,2,DED-BOM,1345.34
AI 0707,BOM,IDR,2,IDR-BOM,505.95
AI 0866,BOM,DEL,4,DEL-BOM,1136.82
AI 3425,DEL,SXR,1,SXR-DEL,642.91
AI 0411,DEL,LKO,7,LKO-DEL,423.61
AI 0563,MAA,BLR,3,BLR-MAA,267.75
AI 0401,DEL,CCU,3,CCU-DEL,1312.81
AI 0560,DEL,HYD,2,HYD-DEL,1266.57
AI 0679,BOM,IXE,4,IXE-BOM,714.75
AI 0715,CCU,PNQ,4,PNQ-CCU,1577.31
AI 3449,DEL,IXL,3,IXL-DEL,621.97
AI 0454,ATQ,DEL,4,DEL-ATQ,414.49
AI 0445,DEL,IXL,4,IXL-DEL,621.97
AI 0516,BLR,HYD,3,HYD-BLR,455.16
AI 0754,IXS,CCU,2,CCU-IXS,525.01
AI 0821,DEL,IXJ,7,IXJ-DEL,507.77
AI 0776,BLR,CCU,7,CCU-BLR,1546.84
AI 0660,TIR,BOM,2,BOM-TIR,935.31
AI 0706,DIB,CCU,4,CCU-DIB,851.91
AI 0879,DEL,IXB,1,IXB-DEL,1125.76
AI 0412,LKO,DEL,4,DEL-LKO,423.61
AI 0423,STV,CCU,1,CCU-STV,1628.72
AI 0564,BLR,MAA,3,MAA-BLR,267.75
AI 0708,IDR,BOM,2,BOM-IDR,505.95
AI 0896,IXA,DEL,1,DEL-IXA,1502.19
AI 0481,DEL,BHO,3,BHO-DEL,586.29
AI 0628,NAG,BOM,4,BOM-NAG,682.59
AI 0460,VGA,DEL,2,DEL-VGA,1389.84
AI 0505,BLR,DEL,7,DEL-BLR,1708.87
AI 0788,IXZ,CCU,1,CCU-IXZ,1306.14
AI 0671,BOM,MAA,7,MAA-BOM,1033.40
AI 3426,SXR,DEL,1,DEL-SXR,642.91
AI 0549,MAA,IXZ,1,IXZ-MAA,1372.56
AI 0651,BOM,RPR,3,RPR-BOM,954.70
AI 3415,IXL,IXC,3,IXC-IXL,391.52
AI 0407,DEL,PAT,6,PAT-DEL,857.01
AI 0639,BOM,BLR,5,BLR-BOM,834.16
AI 0894,DIB,DEL,1,DEL-DIB,1761.61
AI 0676,CCU,BOM,3,BOM-CCU,1665.49
AI 0851,PNQ,AMD,6,AMD-PNQ,517.35
AI 0470,NAG,DEL,1,DEL-NAG,852.90
AI 0679,IXE,BLR,4,BLR-IXE,306.15
AI 0429,DEL,MAA,7,MAA-DEL,1759.82
AI 0558,DEL,HYD,7,HYD-DEL,1266.57
AI 0809,BOM,DEL,7,DEL-BOM,1136.82
AI 0526,CCU,HYD,7,HYD-CCU,1207.67
AI 0486,IXZ,DEL,1,DEL-IXZ,2484.67
AI 0515,HYD,BLR,3,BLR-HYD,455.16
AI 0647,BOM,JGA,4,JGA-BOM,478.61
AI 0695,BOM,VNS,4,VNS-BOM,1247.48
AI 0689,DED,BOM,2,BOM-DED,1345.34
AI 0821,IXJ,SXR,7,SXR-IXJ,144.48
AI 3743,CCU,IXA,1,IXA-CCU,316.55
AI 0445,IXL,IXC,4,IXC-IXL,391.52
AI 0524,JAI,BLR,3,BLR-JAI,1527.96
AI 0657,BOM,CJB,3,CJB-BOM,1001.79
AI 0865,DEL,BOM,4,BOM-DEL,1136.82
AI 0477,DEL,BBI,3,BBI-DEL,1277.42
AI 0716,PNQ,CCU,2,CCU-PNQ,1577.31
AI 3416,IXC,IXL,3,IXL-IXC,391.52
AI 0402,CCU,DEL,3,DEL-CCU,1312.81
AI 0512,DEL,COK,4,COK-DEL,2047.67
AI 0543,HYD,DEL,2,DEL-HYD,1266.57
AI 0889,DEL,IMF,4,IMF-DEL,1720.47
AI 0482,BHO,DEL,3,DEL-BHO,586.29
AI 0680,BLR,IXE,4,IXE-BLR,306.15
AI 0766,MAA,CCU,2,CCU-MAA,1385.71
AI 0506,DEL,BLR,6,BLR-DEL,1708.87
AI 0880,IXB,DEL,1,DEL-IXB,1125.76
AI 0822,SXR,IXJ,7,IXJ-SXR,144.48
AI 0851,AMD,DEL,6,DEL-AMD,755.09
AI 0721,CCU,IXB,2,IXB-CCU,447.89
AI 3744,IXA,CCU,1,CCU-IXA,316.55
AI 0417,DEL,IXR,3,IXR-DEL,1007.64
AI 0669,BOM,BBI,6,BBI-BOM,1361.68
AI 0674,CCU,STV,1,STV-CCU,1628.72
AI 3450,IXL,DEL,3,DEL-IXL,621.97
AI 0651,RPR,VTZ,3,VTZ-RPR,414.87
AI 0671,MAA,IXM,7,IXM-MAA,417.49
AI 0408,PAT,DEL,6,DEL-PAT,857.01
AI 0648,JGA,BOM,4,BOM-JGA,478.61
AI 0775,CCU,BLR,7,BLR-CCU,1546.84
AI 0445,IXC,DEL,3,DEL-IXC,237.35
AI 0550,IXZ,MAA,1,MAA-IXZ,1372.56
AI 0663,BOM,GOI,4,GOI-BOM,424.80
AI 0677,DEL,BOM,7,BOM-DEL,1136.82
AI 0678,BOM,DEL,7,DEL-BOM,1136.82
AI 0727,BLR,GAU,3,GAU-BLR,2039.39
AI 0883,DEL,GOI,1,GOI-DEL,1502.89
AI 0680,IXE,BOM,4,BOM-IXE,714.75
AI 0822,IXJ,DEL,7,DEL-IXJ,507.77
AI 0521,HYD,VTZ,4,VTZ-HYD,511.79
AI 0696,VNS,BOM,4,BOM-VNS,1247.48
AI 0658,CJB,BOM,3,BOM-CJB,1001.79
AI 3713,CCU,IMF,1,IMF-CCU,602.16
AI 0429,MAA,CJB,7,CJB-MAA,403.82
AI 0478,BBI,DEL,3,DEL-BBI,1277.42
AI 0672,IXM,MAA,7,MAA-IXM,417.49
AI 0527,BLR,PNQ,3,PNQ-BLR,722.69
AI 0403,DEL,RAJ,3,RAJ-DEL,940.17
AI 0651,VTZ,BOM,3,BOM-VTZ,1103.34
AI 0722,IXB,CCU,2,CCU-IXB,447.89
AI 0745,CCU,IXA,3,IXA-CCU,316.55
AI 0681,BOM,COK,3,COK-BOM,1063.81
AI 0849,DEL,PNQ,7,PNQ-DEL,1155.08
AI 0418,IXR,DEL,3,DEL-IXR,1007.64
AI 0475,DEL,JDH,3,JDH-DEL,474.52
AI 0890,IMF,DEL,4,DEL-IMF,1720.47
AI 0664,GOI,BOM,4,BOM-GOI,424.80
AI 0571,HYD,JAI,4,JAI-HYD,1100.16
AI 0697,BOM,PAT,3,PAT-BOM,1448.79
AI 3714,IMF,CCU,1,CCU-IMF,602.16
AI 0670,BBI,BOM,4,BOM-BBI,1361.68
AI 0674,STV,BBI,1,BBI-STV,1363.35
AI 0539,CJB,MAA,7,MAA-CJB,403.82
AI 0672,MAA,BOM,7,BOM-MAA,1033.40
AI 0773,BOM,CCU,3,CCU-BOM,1665.49
AI 0529,HYD,CCU,7,CCU-HYD,1207.67
AI 0655,BOM,RAJ,4,RAJ-BOM,418.82
AI 0513,COK,DEL,4,DEL-COK,2047.67
AI 0544,DEL,HYD,5,HYD-DEL,1266.57
AI 0765,CCU,MAA,2,MAA-CCU,1385.71
AI 0535,DEL,CCU,7,CCU-DEL,1312.81
AI 0473,DEL,BBI,7,BBI-DEL,1277.42
AI 0522,VTZ,HYD,4,HYD-VTZ,511.79
AI 0631,BOM,BHO,7,BHO-BOM,657.69
AI 0746,IXA,CCU,3,CCU-IXA,316.55
AI 0528,PNQ,BLR,3,BLR-PNQ,722.69
AI 0531,DEL,AMD,3,AMD-DEL,755.09
AI 0687,BOM,DEL,6,DEL-BOM,1136.82
AI 0884,GOI,DEL,1,DEL-GOI,1502.89
AI 0404,RAJ,DEL,5,DEL-RAJ,940.17
AI 0415,DEL,PAT,1,PAT-DEL,857.01
AI 0476,JDH,DEL,3,DEL-JDH,474.52
AI 0503,BLR,DEL,7,DEL-BLR,1708.87
AI 0537,DEL,BOM,7,BOM-DEL,1136.82
AI 0728,GAU,BLR,3,BLR-GAU,2039.39
